"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16656-27457","WR","Kenny","Stills","6.533333460489909","6","5100","BUF@MIA","MIA","BUF","","","",""
"16656-33578","RB","Jalen","Richard","6.950000127156575","6","5100","OAK@JAC","OAK","JAC","","","",""
"16656-7953","WR","Vincent","Jackson","4.959999847412109","5","5100","TB@SF","TB","SF","IR","Knee","",""
"16656-7972","RB","Darren","Sproles","8.759999847412109","5","5100","MIN@PHI","PHI","MIN","","","",""
"16656-7900","K","Stephen","Gostkowski","7.833333333333333","6","5100","NE@PIT","NE","PIT","","","",""
"16656-12528","D","Cincinnati","Bengals","5.333333333333333","6","5100","CLE@CIN","CIN","CLE","","","",""
"16656-14362","TE","Charles","Clay","5.816666920979817","6","5100","BUF@MIA","BUF","MIA","Q","Ankle","",""
"16656-29780","TE","Zach","Ertz","5.566666920979817","3","5100","MIN@PHI","PHI","MIN","","","",""
"16656-8803","QB","Chase","Daniel","-0.019999999552965164","2","5000","MIN@PHI","PHI","MIN","","","",""
"16656-70446","QB","Joe","Callahan","0","0","5000","NO@KC","NO","KC","","","",""
"16656-30652","WR","Tanner","McEvoy","4.299999872843425","3","5000","SEA@ARI","SEA","ARI","","","",""
"16656-21957","WR","Kendall","Wright","9.033333460489908","3","5000","IND@TEN","TEN","IND","","","",""
"16656-28163","QB","Connor","Cook","0","0","5000","OAK@JAC","OAK","JAC","","","",""
"16656-70464","QB","Josh","Woodrum","0","0","5000","IND@TEN","IND","TEN","","","",""
"16656-47772","QB","Brandon","Doughty","0","0","5000","BUF@MIA","MIA","BUF","","","",""
"16656-43956","QB","David","Fales","0","0","5000","BAL@NYJ","BAL","NYJ","","","",""
"16656-41732","QB","Christian","Hackenberg","0","0","5000","BAL@NYJ","NYJ","BAL","","","",""
"16656-45797","QB","Garrett","Grayson","0","1","5000","NO@KC","NO","KC","","","",""
"16656-33244","WR","Eli","Rogers","6.5","4","5000","NE@PIT","PIT","NE","","","",""
"16656-29500","WR","Markus","Wheaton","5.033333460489909","3","5000","NE@PIT","PIT","NE","Q","Shoulder","",""
"16656-53331","QB","Taylor","Heinicke","0","0","5000","MIN@PHI","MIN","PHI","O","Ankle","",""
"16656-54705","QB","Dustin","Vaughan","0","0","5000","NE@PIT","PIT","NE","","","",""
"16656-28515","QB","Cardale","Jones","0","0","5000","BUF@MIA","BUF","MIA","","","",""
"16656-30253","QB","Jeff","Driskel","0","0","5000","CLE@CIN","CIN","CLE","","","",""
"16656-26483","QB","Geno","Smith","0.4399999976158142","1","5000","BAL@NYJ","NYJ","BAL","","","",""
"16656-31421","QB","Zach","Mettenberger","7.028571537562779","7","5000","NE@PIT","PIT","NE","","","",""
