year,place,team,adj-line-yards,rb-yards,power-sucess,power rank,stuffed,stuffed-rank,2nd_level_yds,2nd_level_rank,open_field_yds,open_field_rank
16,11,ATL,4.07,4.44,57%,22,22%,23,1.30,10,0.93,9
16,12,DEN,4.06,3.95,64%,16,18%,14,1.31,8,0.41,28
16,13,CHI,4.04,4.78,83%,2,23%,28,1.36,5,1.23,2
16,14,CIN,4.00,4.38,54%,24,19%,16,1.17,17,0.85,12
16,15,GB,3.97,4.34,44%,30,18%,12,1.16,18,0.84,14
16,16,NYJ,3.89,4.33,89%,1,17%,9,1.20,15,0.84,13
16,17,KC,3.88,4.49,70%,12,17%,8,1.31,7,0.93,8
16,18,TB,3.85,3.80,38%,32,23%,26,1.07,23,0.58,20
16,19,CAR,3.83,3.83,75%,6,18%,11,1.02,26,0.44,27
16,20,PIT,3.78,4.03,67%,14,18%,13,1.25,13,0.47,25
16,21,NE,3.77,3.75,50%,27,21%,20,1.11,22,0.47,24
16,22,BUF,3.76,4.89,60%,20,21%,22,1.32,6,1.21,3
16,23,LARM,3.65,3.27,60%,20,20%,17,0.82,31,0.30,30
16,24,SEA,3.64,3.54,52%,25,24%,29,1.12,21,0.33,29
16,25,SD,3.60,3.98,63%,19,22%,24,0.95,28,0.91,10
16,26,BAL,3.59,3.60,56%,23,20%,18,0.94,29,0.55,22
16,27,CLE,3.48,4.68,73%,8,22%,25,1.45,2,1.16,5
16,28,NYG,3.39,3.62,63%,18,19%,15,1.05,24,0.46,26
16,29,DET,3.21,3.81,50%,27,24%,30,1.19,16,0.65,18
16,30,JAC,3.17,3.77,50%,27,25%,32,1.14,20,0.70,17
16,31,MIN,2.95,2.73,42%,31,25%,31,0.72,32,0.22,32
16,32,SF,2.95,3.52,74%,7,23%,27,0.92,30,0.54,23
16,x,NFL,x,4.16,64%,x,19%,x,1.04,x,0.66,x
