"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17288-29915","QB","Brett","","Hundley","-0.17333332697550455","3","5000","GB@CHI","GB","CHI","","","",""
"17288-27908","TE","C.J.","","Fiedorowicz","7.115384615384615","13","5000","JAC@HOU","HOU","JAC","Q","Concussion","",""
"17288-12556","D","Houston","","Texans","5.615384615384615","13","5000","JAC@HOU","HOU","JAC","","","",""
"17288-27982","QB","Jake","","Rudock","0","0","5000","DET@NYG","DET","NYG","","","",""
"17288-34154","WR","J.J.","","Nelson","7.236363497647372","11","5000","NO@ARI","ARI","NO","Q","Knee","",""
"17288-25969","QB","Tom","","Savage","0","0","5000","JAC@HOU","HOU","JAC","Q","Elbow","",""
"17288-24949","QB","EJ","","Manuel","1.6999999682108562","3","5000","CLE@BUF","BUF","CLE","","","",""
"17288-47523","WR","Tajae","","Sharpe","5.884615384615385","13","5000","TEN@KC","TEN","KC","","","",""
"17288-54705","QB","Dustin","","Vaughan","0","0","5000","PIT@CIN","PIT","CIN","","","",""
"17288-31170","QB","Brandon","","Allen","0","0","5000","JAC@HOU","JAC","HOU","","","",""
"17288-44500","QB","Keith","","Wenning","0","0","5000","PIT@CIN","CIN","PIT","","","",""
"17288-70127","QB","Griffin","","Neal","0","0","5000","NO@ARI","NO","ARI","","","",""
"17288-6641","TE","Jason","","Witten","7.530769348144531","13","5000","TB@DAL","DAL","TB","","","",""
"17288-28163","QB","Connor","","Cook","0","0","5000","OAK@SD","OAK","SD","","","",""
"17288-26141","QB","Ryan","","Nassib","6.71999979019165","1","5000","DET@NYG","NYG","DET","","","",""
"17288-30237","RB","Mike","","Gillislee","7.575000127156575","12","5000","CLE@BUF","BUF","CLE","","","",""
"17288-6687","QB","Mark","","Sanchez","0.11999999731779098","1","5000","TB@DAL","DAL","TB","","","",""
"17288-23075","QB","Alex","","Tanney","7.960000038146973","1","5000","TEN@KC","TEN","KC","","","",""
"17288-30253","QB","Jeff","","Driskel","0","0","5000","PIT@CIN","CIN","PIT","","","",""
"17288-8803","QB","Chase","","Daniel","-0.019999999552965164","2","5000","PHI@BAL","PHI","BAL","","","",""
"17288-14952","K","Dan","","Bailey","8.538461538461538","13","5000","TB@DAL","DAL","TB","","","",""
"17288-32366","QB","Jameill","","Showers","0","0","5000","TB@DAL","DAL","TB","","","",""
"17288-34459","QB","B.J.","","Daniels","0.9200000166893005","4","5000","GB@CHI","CHI","GB","","","",""
"17288-31406","RB","Alfred","","Blue","2.9545454545454546","11","5000","JAC@HOU","HOU","JAC","","","",""
"17288-31421","QB","Zach","","Mettenberger","7.028571537562779","7","5000","PIT@CIN","PIT","CIN","","","",""
"17288-45797","QB","Garrett","","Grayson","0","1","5000","NO@ARI","NO","ARI","","","",""
"17288-7919","QB","Kellen","","Clemens","-0.10000000149011612","1","5000","OAK@SD","SD","OAK","","","",""
"17288-26355","QB","Logan","","Thomas","0","0","5000","CLE@BUF","BUF","CLE","","","",""
"17288-70446","QB","Joe","","Callahan","0","0","5000","GB@CHI","GB","CHI","","","",""
"17288-70464","QB","Josh","","Woodrum","0","0","5000","GB@CHI","CHI","GB","","","",""
"17288-8023","QB","Josh","","Johnson","0","0","5000","DET@NYG","NYG","DET","","","",""
"17288-8051","QB","Luke","","McCown","6.199999809265137","2","5000","NO@ARI","NO","ARI","","","",""
"17288-8071","QB","Dan","","Orlovsky","5.519999980926514","2","5000","DET@NYG","DET","NYG","","","",""
"17288-33702","QB","Ryan","","Griffin","0","0","5000","TB@DAL","TB","DAL","","","",""
"17288-34729","RB","Dwayne","","Washington","3.955555386013455","9","5000","DET@NYG","DET","NYG","","","",""
"17288-43956","QB","David","","Fales","0","0","5000","GB@CHI","CHI","GB","","","",""
"17288-14349","WR","Jeremy","","Kerley","7.046153728778545","13","4900","SF@ATL","SF","ATL","","","",""
"17288-30733","WR","Cordarrelle","","Patterson","6.115384615384615","13","4900","IND@MIN","MIN","IND","","","",""
"17288-31871","RB","Charles","","Sims","9.259999847412109","5","4900","TB@DAL","TB","DAL","","","",""
"17288-12525","D","Atlanta","","Falcons","7.3076923076923075","13","4900","SF@ATL","ATL","SF","","","",""
"17288-54606","WR","John","","Brown","5.672727411443537","11","4900","NO@ARI","ARI","NO","Q","Illness","",""
"17288-39280","RB","Derrick","","Henry","5.781818043101918","11","4900","TEN@KC","TEN","KC","","","",""
"17288-33137","WR","Justin","","Hardy","4.040000152587891","10","4900","SF@ATL","ATL","SF","","","",""
"17288-54687","RB","Charcandrick","","West","4.100000063578288","12","4900","TEN@KC","KC","TEN","","","",""
"17288-27134","WR","Dorial","","Green-Beckham","5.854545593261719","11","4900","PHI@BAL","PHI","BAL","","","",""
"17288-6704","WR","Percy","","Harvin","2.700000047683716","1","4900","CLE@BUF","BUF","CLE","O","Migraine","",""
